,title,category_id,views,likes,favorites,comments,date,duration,tags
35,[서기 로그] EP1. 형 진짜 이럴거야?!,22,188865,3591,0,NaN,2023-04-27T10:00:49Z,1601,"['홍콩', '홍콩여행', '센트럴', '짐사추이', '주호다', '찐친', '주호', '퀸주호', '현석공주', '여행', '여행브이로그', '홍콩호텔', '홍콩호텔추천']"
36,[ENG SUB] 오늘부터 세븐틴 예능멤은 부승관이 아니고 디노다. 반박시 [용진호건강원 EP.07],24,339079,27852,0,NaN,2023-04-27T10:00:49Z,1323,"['이용진', '용진건강원', '용진호건강원', '디노', '세븐틴', '부석순', 'seventeen', '손오공', '이진호']"
37,"찌드래곤, 동묘 시장에 가다 | [모창가수의 길] GG-dragon",23,146651,3605,0,NaN,2023-04-28T09:30:10Z,831,NaN
38,시장 길거리 음식 먹방🔥 800만 감사합니다,22,1723123,71163,0,NaN,2023-04-26T12:00:02Z,882,"['real sound', '리얼사운드', 'social eating', 'mukbang', 'eating show', '먹방', '맛집']"
39,"[Eng]🇸🇬#1 우리 가족 첫 해외여행, 싱가포르👋🏻 뭐 먹고 뭐 입고 뭐했는데? 이 나라 우리 스타일이야... 야쿤 토스트, 터키 음식, 맛집",22,350911,6398,0,NaN,2023-04-26T07:49:22Z,1411,"['유트루', 'vlog', '한국일상', '유투버', 'Collab', 'Korean', '먹방', '가족', '뷰티유튜버일상', 'mukbang', '커플', '부부', '신혼', '신혼일기', '요리', '아기와해외여행', '아기 해외여행', '아기 애외', '육아브이로그', '가족여행', '해외여행', '여행브이로그', '여행', '해외여행 유튜버']"
40,"EP.1 ""안녕 Hi こんにちは"" 르세라핌의 한미일 친구 만들기 | ODG",24,2888264,145906,0,NaN,2023-04-25T12:30:10Z,427,NaN
41,[백종원 선생님 등장] 리뉴얼된 예산시장 과연 어떨까요? 대식가만 할수있는 남기지 않는 전메뉴 테이블 한상 꽉 채워서 먹방,22,431801,8284,0,NaN,2023-04-27T08:43:31Z,1157,"['히밥', '좌희재', '히밥먹방', '도전먹방', '신메뉴', 'glqkq', 'korean', 'koreanmukbangeatingshow', 'eatingshow', 'eating', '푸드파이터', 'foodfighter', '대식가', 'sub', '#burger', '#burgerking', '#히밥', '위대한집쿡연구소', '떡볶세끼', '치킨대전', '토요일은밥이좋아', '토밥']"
42,"4월 27일 33라운드, 아스날 우승 장례식 (상주: 박종윤님, 신우석 감독님)",17,302193,3836,0,NaN,2023-04-27T01:01:24Z,1042,"['이스타', '이스타TV', '이주헌', '박종윤', '랩추종윤', '히든풋볼', '추멘', '번개맨', '프리미어리그', '맨유', '맨시티', '아스날', '리버풀', '첼시', '토트넘', '라리가', '레일 마드리드', '바르셀로나', 'AT마드리드', '세리에', '밀란', '유벤투스', '인테르', '로마', '분데스리가', '바이에른 뮌헨', '도르트문트', '바이언', 'PSG', 'K리그', '방구석토크', '주간EPL', '후토크', 'WPT', '솔샤르', '과르디올라', '아르테타', '클롭', '램파드', '무리뉴', '손흥민', '축구', '해외축구', '국내축구', '월드컵', '카타르', '카타르 월드컵', '신우석', '뉴진스', '아스날 맨시티', '맨시티 아스날', '우승 경쟁']"
43,"[공부의 길道] 최고의 효율, 숨은 뇌를 깨우는 설림여자고등학교 3학년 '김혜진' 학생 (풀영상) | 교육TV",22,1513932,37896,0,NaN,2023-04-26T08:00:04Z,764,"['틱톡', '릴스', '쇼츠', '상황극', '공감', '일상', '콩트', '유머', '사내뷰공업', '아리', 'ari', 'beautyfool', 'tiktok', 'reels', 'shorts', 'sitcom', 'korean', '김혜진', '공부', '공부의달인', '고등학생', '시험기간', '고등학생브이로그', '고등학생다큐', '다큐', '인간극장', '부캐', '전교1등', '내신']"
44,"‘왕자야, 나 무서워’ 체리의 불안해하는 목소리에 진돗개 왕자가 보인 반응",22,974091,39104,0,NaN,2023-04-26T07:00:11Z,745,NaN
45,"모란시장 돼지부속 철판구이 : ""가성비 vs 쓰레기"" 논란의 맛을 집에서 재현! 제대로 검증해봤습니다. (도래창, 유통, 껍데기, 지라, 콩팥, 꼬리)",24,1109918,12895,0,NaN,2023-04-25T09:37:12Z,790,"['요리', '레시피', '육식', '고기', '육식맨', '고기요리', 'YOOXICMAN', '돼지부속', '모란시장', '모란5일장', '돼지고기', '돼지요리', '돼지 부산물', '철판구이', '도래창', '유통', '껍데기', '지라', '비장', '콩팥', '신장', '꼬리', '돼지 부속', '부속 고기']"
46,초반에 미친 마스터 이,20,315612,5017,0,NaN,2023-04-25T01:28:47Z,1623,"['발젭', '리그오브레전드', '마스터 이', '병병병']"
47,"새로 이사한 집 🏠  ROOM TOUR / 랜선집들이와 인테리어 감성소품, 살림템 소개 / 집꾸미기 Vlog",26,430348,15667,0,NaN,2023-04-26T10:01:49Z,1039,"['vlog', '살림', '요리', '청소', 'cleaning routine', 'cooking vlog', '룸투어 브이로그', '룸투어', 'room tour', '살림템 추천', '살림템', '이사 브이로그', '집 꾸미기', 'room makeover', 'home tour', 'house tour', '집꾸미기 인테리어', '집꾸미기 브이로그']"
48,"'참외' 이렇게 심으면, 묘목 한개만 심어도 배터지게 실컷 먹을 수 있어요!!",22,286569,1247,0,NaN,2023-04-25T03:10:01Z,894,"['참외', '참외 심기']"
49,"'개전 1년', 러시아는 왜 엄청난 피해에도 전쟁을 안 멈출까? / 지리로 보는 러시아의 ""진짜"" 전쟁 이유",27,1498615,17326,0,NaN,2023-04-23T10:00:28Z,1304,NaN
50,“다음 주 금요일에 뭐 해요?” | 7번지 우정빌리지 #1,10,979910,109625,0,NaN,2023-04-24T13:00:21Z,1832,NaN
51,조항조 X 손태진 - 블랙 커피｜불타는 장미단 4회,10,160245,4456,0,NaN,2023-04-25T16:01:44Z,234,NaN
52,[ENG] 세븐틴(SEVENTEEN) 민규가 질투 폭발한 ‘조슈아💗랑 가장 수다 많이 떠는 멤버’는? 🤯ㅣ세븐틴 조슈아&민규 (a.k.a. 다룸다림다즈✨)ㅣ케미맛집,24,266448,25485,0,NaN,2023-04-26T07:15:09Z,563,"['cosmopolitan', 'cosmopolitan Korea', '코스모폴리탄', '코스모', '세븐틴', '민규', '조슈아', 'seventeen', '손오공', 'FML', '하이브', '세븐틴유닛', '세븐틴컴백', '다룸다림다', 'Super']"
53,[EN] 수지 찾으러 오는 학과 [숭실대 건축학부] | 전과자 ep.20,24,1943370,31163,0,NaN,2023-04-24T09:00:28Z,1531,"['오오디디', '오오티디', 'ootd', 'oodf', 'ootv', '전가자', '전까자', '전꽈', '전과', '정과ㅏㅈ', '이차섭', '이차ㅓ서', '이창썹', '이차저', 'ㅎ꾜', '학교', '대학', '대학교', '대핵', '대학꾜', '건축학개론', '공사', '콘크리트']"
54,"ENG│재봉틀로 슬리퍼 만들고 불닭 야끼소바 먹는 자취 일상, 떡쌈소떡과 장어구이, 봄 요리 만들기",22,802287,22438,0,NaN,2023-04-25T12:28:44Z,2058,"['#자취브이로그', '#자취일상', '#자취요리', '#집순이브이로그', '#자취', '#자취방', '#자취생브이로그', '#자취인테리어', '#일상브이로그', '#집밥', '#집밥브이로그']"
55,마인크래프트 처음해봅니다. 악어의 놀이터,20,354603,5127,0,NaN,2023-04-24T05:06:57Z,1336,"['오킹', '오락킹', '게임', '리그오브레전드', '배틀그라운드', '폴가이즈']"
56,[EN] 맛있게 드새우초밥🦐 | NCT 정우 | NCT 도재정 | 회전초밥 | 워크맨2,24,1497965,44819,0,NaN,2023-04-24T09:00:11Z,922,"['워크맨', '워크맨2', '스튜디오룰루랄라', '장성규', '후기', 'wassupman', '직업리뷰', '아르바이트', '알바', '알바 브이로그', '알바 면접', '장성규 알바', 'job', '알바 꿀팁', '알바생', '알바브이로그', '리뷰', 'NCT', 'NCT 정우', '정우 워크맨', '워크맨 정우', 'NCT 워크맨', 'NCT 워크맨 정우', '정우', '도대정', '도재정', 'perfume', '펄퓸', '퍼퓸', '퍼퓸챌린지', '퍼퓸댄스챌린지', '퍼챌', '퍼퓸 챌린지', 'challenge', 'perfumechallenge', 'NCT_DOJAEJUNG', 'DOJAEJUNG', 'JUNGWOO', 'Perfume', 'DOJAEJUNG_Perfume']"
57,급하게 찐 살 급하게 빼 봤습니다. (Feat. 하루비움),22,177824,3532,0,NaN,2023-04-26T08:00:17Z,624,"['급찐급빠', '하루디톡스', '단기다이어트', '하루단식', '단식', '하루다이어트', '하루동안', '다이어트', '다이어터', '단기다이어터', '디톡스후기', '디톡스추천', '다이어트추천']"
58,약속있다고 해놓고 나만 빼고 회식을 하고 있다면?ㅋㅋㅋㅋ개삐짐,23,121115,3311,0,NaN,2023-04-26T10:30:07Z,767,"['성용', '몰카', '몰래카메라', 'prank', '웃긴영상', '꽁트', '성용둘기', '뭐라그래써', '우상준', '성용우상준', '인기급상승', '나만빼놓고회식', '내가잘못한거야', '먹방']"
