,id,title,category_id,views,likes,favorites,comments,date,tags
32,RLEcQ_dwfpk,[#강식당1] 오므라이스에 계란이 없어ㅋㅋㅋ!!!🍳 사이좋게 실수 동시에 해대는 강식당 직원들 ㅣEP2-16,24,172138,663,0,NaN,2017-12-12T15:32:13Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
33,i-lTBcuEpuM,[#강식당1] 선물 포장도 안 해봤는데…😥 갑자기 늘어난 포장 주문에 고장난 알바생 송민호ㅣEP3-01,24,121902,380,0,NaN,2017-12-19T14:17:51Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방', '강식당 돈까스']"
34,fL6Vam5VQIY,[#강식당1] 사장님께 한마디 했더니 강식당의 안녕과 평화가 사라졌다. 다 행복하자고 하는거에요~🌸ㅣEP3-02,24,115562,319,0,NaN,2017-12-19T14:23:23Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
35,JPJDTkvZBY0,[#강식당1] 밖에 소리 다 들려요 형…!!! 손님이 있어도 꿋꿋하게 싸우는 강호동과 이수근ㅣEP3-03,24,541252,2757,0,NaN,2017-12-19T14:30:10Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
36,zBS0cpHM2eA,[#강식당1] 조금 한가해지면 설거지가 한가득🍽 홀도 주방도 설거지옥의 연속...ㅣEP3-04,24,102162,275,0,NaN,2017-12-19T14:30:53Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
37,cBEEBmYDKRc,[#강식당1] 수근이의 따뜻한 마음이 만든 물바다💦 그리고 얼떨결에 자수한 송민호(?)ㅣEP3-05,24,98664,276,0,NaN,2017-12-19T14:31:53Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
38,zSJ2i6pEyB4,[#강식당1] 배고픔에 이상 증세를 보이는 강호동 사장님… 내 얼굴 반쪽 돼써... (그대로임)ㅣEP3-06,24,193701,572,0,NaN,2017-12-19T15:11:57Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
39,_H4s1I1UzJs,[#강식당1] 제주도까지 날아온 백종원 !!🛫 돈가스 구석구석 다 먹어보는 백선생님ㅣEP3-07,24,601188,2199,0,NaN,2017-12-19T15:14:53Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
40,Wc7HUtZQYwc,[#강식당1] 오므라이스는 내가 배워야겠는데…? 백종원의 맛집 인증 싸인 사수한 강식당!!!ㅣEP3-08,24,260859,967,0,NaN,2017-12-19T15:15:16Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
41,Crk30EMm7Po,[#강식당1] 그 자리에서 바로 강식당 신메뉴 개발해버리는 백종원 선생님ㅣEP3-09,24,99942,275,0,NaN,2017-12-19T15:16:56Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
42,D2UNu69VWVU,[#강식당1] 강호동X백종원의 신메뉴! 라면에 양념장을 더한 탕수육 라면!!!🔥 ㅣEP3-10,24,603032,1835,0,NaN,2017-12-19T15:25:02Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
43,chsz_zCyJ4I,[#강식당1] 고기튀김이 바삭바삭🍜 직원들 입맛을 사로잡은 신메뉴 ★제주많은 돼지라면★ㅣEP3-11,24,101473,270,0,NaN,2017-12-19T15:37:09Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
44,2QOUSEeONMA,[#강식당1] 이수근 언지원 너그 둘이 홀에서 싸우기만 싸워봐... 경고하는 강호동🚨ㅣEP3-13,24,429047,1585,0,NaN,2017-12-19T15:38:29Z,"['강식당', '신서유기외전', '신서유기외전강식당', '사장이더많이먹는', '강호동', '이수근', '은지원', '안재현', '송민호', '신서유기', '꽃보다청춘', '위너꽃보다청춘', '꽃청춘위너', '위너', '강호동까스', '먹방', '음식', '제주도', '백종원', '강식당백종원', '삼겹살김밥', '강식당라면', '탕수육라면', '오므라이스', '강식당오므라이스', '백종원레시피', '강식당노래방', '신서유기노래방']"
