,title,category_id,views,likes,favorites,comments,date,tags
36,[FULL영상] 연애의 참견2 다시보기 | EP.36,24,414630,1696,0,Nan,2019-08-22T01:18:31Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
37,[FULL영상] 연애의 참견2 다시보기 | EP.35,24,482251,1935,0,Nan,2019-08-14T03:21:22Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
38,[FULL영상] 연애의 참견2 다시보기 | EP.34,24,632053,2464,0,Nan,2019-08-09T00:42:13Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
39,[FULL영상] 연애의 참견2 다시보기 | EP.33,24,481124,2028,0,Nan,2019-07-31T08:09:54Z,"['KBSN', '연애의참견2', '다시보기', '연애고민', '서장훈', '한혜진', '김숙', '주우재', '곽정은']"
40,[FULL영상] 연애의 참견2 다시보기 | EP.32,24,490143,2088,0,Nan,2019-07-26T01:02:29Z,"['KBSN', '연애의 참견2', '연참', '무료 다시보기', '다시보기', 'FULL 영상', '연애', '사랑', '고민', '상담', '드라마', '꿀잼', '시간순삭']"
41,[FULL영상] 연애의 참견2 다시보기 | EP.31,24,456307,1714,0,Nan,2019-04-10T07:21:03Z,"['KBSN', '연애의 참견2', '연참2', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '무료', '다시보기', '연애의 참견 다시보기']"
42,[FULL영상] 연애의 참견2 다시보기 | EP.30,24,557537,2159,0,Nan,2019-04-03T12:31:36Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2', '무료', '다시보기']"
43,[FULL영상] 연애의 참견2 다시보기 | EP.29,24,566628,2117,0,Nan,2019-03-27T09:08:04Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2']"
44,[FULL영상] 연애의 참견2 다시보기 | EP.28,24,704324,2538,0,Nan,2019-03-20T08:14:49Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연탐2', '연애의 참견2']"
45,[FULL영상] 연애의 참견2 다시보기 | EP.27,24,573894,2084,0,Nan,2019-03-13T06:05:31Z,"['KBSN', '서장훈', '김숙', '한혜진', '곽정은', '주우재', '연참2', '연애의 참견2']"
